"","CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","KY_CD","OFNS_DESC","PD_CD","PD_DESC","CRM_ATPT_CPTD_CD","LAW_CAT_CD","JURIS_DESC","BORO_NM","ADDR_PCT_CD","LOC_OF_OCCUR_DESC","PREM_TYP_DESC","PARKS_NM","HADEVELOPT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon"
"51",604881932,"2/19/15","9:12:00","","","2/19/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",75,"INSIDE","","","",1014409,183087,40.66916511,-73.89128469,"(40.669165105, -73.891284691)"
"52",286035710,"2/20/15","2:20:00","","","2/20/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",108,"OUTSIDE","","","",996933,209751,40.74239378,-73.9542317,"(40.74239378, -73.954231702)"
"53",201675352,"2/22/15","22:48:00","","","2/22/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"OUTSIDE","","","",1003910,179163,40.65842413,-73.92914276,"(40.658424134, -73.929142764)"
"54",562179422,"2/22/15","18:30:00","","","2/22/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",69,"OUTSIDE","","","",1009756,173595,40.64312628,-73.90809365,"(40.64312628, -73.908093647)"
"55",240083745,"2/23/15","16:39:00","","","2/23/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","MANHATTAN",9,"OUTSIDE","","","WALD",990311,201886,40.7208133,-73.97813591,"(40.720813298, -73.978135911)"
"56",774711325,"2/25/15","13:44:00","","","2/25/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"INSIDE","","","",1006734,179770,40.6600835,-73.91896247,"(40.660083495, -73.91896247)"
"57",880136370,"2/27/15","17:00:00","","","2/27/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",75,"OUTSIDE","","","",1017036,183890,40.67135982,-73.88181102,"(40.67135982, -73.881811023)"
"58",756259143,"3/3/15","16:42:00","","","3/3/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",43,"OUTSIDE","","","",1021688,244893,40.83877887,-73.86470137,"(40.838778865, -73.864701374)"
"59",512657013,"3/4/15","22:02:00","","","3/4/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",46,"INSIDE","","","",1012077,249074,40.85028999,-73.89941792,"(40.850289992, -73.899417923)"
"60",186903611,"3/4/15","0:45:00","","","3/4/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",49,"INSIDE","","","",1023622,253318,40.86189456,-73.85766248,"(40.861894559, -73.85766248)"
"61",913457744,"3/6/15","14:51:00","","","3/6/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",109,"INSIDE","","","",1035383,215652,40.75845178,-73.81543074,"(40.758451779, -73.81543074)"
"62",375225775,"3/6/15","12:45:00","","","3/6/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",100,"INSIDE","","","CARLETON MANOR",1039880,155193,40.59247876,-73.79969735,"(40.592478755, -73.799697347)"
"63",332244781,"3/9/15","15:00:00","","","3/9/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",44,"INSIDE","","","",1006618,242128,40.83124077,-73.91917319,"(40.831240768, -73.91917319)"
"64",478030180,"3/10/15","14:30:00","","","3/10/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",71,"INSIDE","","","",999020,180686,40.66261394,-73.94676399,"(40.662613939, -73.946763988)"
"65",470083478,"3/13/15","20:26:00","","","3/13/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"OUTSIDE","","","",1013790,254575,40.86538302,-73.89320188,"(40.865383016, -73.893201875)"
"66",292434338,"3/13/15","1:15:00","","","3/13/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",47,"OUTSIDE","","","",1026938,269116,40.90523966,-73.84557371,"(40.905239663, -73.845573705)"
"67",424887632,"3/14/15","15:00:00","","","3/14/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",76,"OUTSIDE","","","GOWANUS",987442,188309,40.68354911,-73.98849249,"(40.68354911, -73.988492488)"
"68",566038630,"3/14/15","1:09:00","","","3/14/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",104,"OUTSIDE","","","",1013787,195967,40.70451983,-73.8934704,"(40.704519831, -73.893470403)"
"69",577019291,"3/17/15","20:15:00","","","3/17/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",44,"INSIDE","","","",1004966,246145,40.8422703,-73.92513039,"(40.842270296, -73.925130393)"
"70",595690546,"3/18/15","1:25:00","","","3/18/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",25,"OUTSIDE","","","",999861,230872,40.80036073,-73.94361623,"(40.800360728, -73.943616233)"
